winner six 	how much is that 
whats wrong 	over there thats ricky tan 
whats wrong  _eou_ over there thats ricky tan 	thats ricky tan hes four feet tall ill go over with you right now shake him down 
whats wrong  _eou_ over there thats ricky tan  _eou_ thats ricky tan hes four feet tall ill go over with you right now shake him down 	this is __name__ very dangerous man 
whats wrong  _eou_ over there thats ricky tan  _eou_ thats ricky tan hes four feet tall ill go over with you right now shake him down  _eou_ this is __name__ very dangerous man 	im __name__ dangerous man youre not gonna ruin my massage because of some midget in __name__ house coat 
whats wrong  _eou_ over there thats ricky tan  _eou_ thats ricky tan hes four feet tall ill go over with you right now shake him down  _eou_ this is __name__ very dangerous man  _eou_ im __name__ dangerous man youre not gonna ruin my massage because of some midget in __name__ house coat 	im calling for back up 
goddamn you got __name__ small ass 	dont look at my ass 
what leave you alone so he can cap you 	im okay you go 
what leave you alone so he can cap you  _eou_ im okay you go 	why the hell should you believe him he had us beat up naked thats nasty shit 
what leave you alone so he can cap you  _eou_ im okay you go  _eou_ why the hell should you believe him he had us beat up naked thats nasty shit 	remember __name__ told you my father was __name__ policeman ricky tan was his partner for ten years 
what leave you alone so he can cap you  _eou_ im okay you go  _eou_ why the hell should you believe him he had us beat up naked thats nasty shit  _eou_ remember __name__ told you my father was __name__ policeman ricky tan was his partner for ten years 	what the hell is going on here 
five years ago my father was chief inspector working __name__ big international smuggling case 	ask me if __name__ give __name__ shit 
you want to figure out why they killed your daddy get on the plane 	why la 
you want to figure out why they killed your daddy get on the plane  _eou_ why la 	i guess youre going to have to trust me on this one 
shes just standing around not doing much 	just dont fall asleep sooner or later somethings gonna happen 
shes just standing around not doing much  _eou_ just dont fall asleep sooner or later somethings gonna happen 	ill try to stay awake its so boring 
slow down baby 	what did you say 
slow down baby  _eou_ what did you say 	nothing __name__ said nothing 
is it hot in here 	hot im freezing my ass off 
is it hot in here  _eou_ hot im freezing my ass off 	im gonna go in the hall and get __name__ bucket of ice you want some ice 
is it hot in here  _eou_ hot im freezing my ass off  _eou_ im gonna go in the hall and get __name__ bucket of ice you want some ice 	whats going on 
shes getting undressed 	gimme the binoculars 
shes getting undressed  _eou_ gimme the binoculars 	no its not right 
shes getting undressed  _eou_ gimme the binoculars  _eou_ no its not right 	gimme the binoculars or __name__ will shoot you 
i dont understand 	shes walking back towards the door 
pick it up 	its your turn 
pick it up  _eou_ its your turn 	i dont need __name__ turn 
wait theres people down there 	theres people up here 
wait theres people down there  _eou_ theres people up here 	get it out of here 
wait theres people down there  _eou_ theres people up here  _eou_ get it out of here 	take it 
i wouldnt do that 	its __name__ bomb 
let me see it again 	we can help you im __name__ detective in hong kong 
vegas 	lee __name__ just got an idea how someone could launder __name__ hundred million dollars in cash 
red dragon 	that was the name of ricky tans boat 
that looks exactly like my uncle darrell 	buddha is the symbol of luck and good fortune 
that looks exactly like my uncle darrell  _eou_ buddha is the symbol of luck and good fortune 	buddha is the symbol for fat and lazy the man has the biggest tits in asia 
carter here comes the rich white man 	wait here ill handle this 
isabella are you crazy man she almost got us killed shes setting you up again 	no im going to find out 
isabella are you crazy man she almost got us killed shes setting you up again  _eou_ no im going to find out 	wait __name__ second theres guards all over the place youll need __name__ distraction 
ill go to the craps table make __name__ big scene when security comes over you make your move 	try to keep them busy for five minutes 
ill go to the craps table make __name__ big scene when security comes over you make your move  _eou_ try to keep them busy for five minutes 	ill give it my best shot 
lee 	mmmmmm 
why didnt you tell me you had __name__ bomb in your mouth 	i did 
why didnt you tell me you had __name__ bomb in your mouth  _eou_ i did 	no you didnt 
why didnt you tell me you had __name__ bomb in your mouth  _eou_ i did  _eou_ no you didnt 	yes __name__ did __name__ said mmmmmm 
ricky tan is alive 	what 
ricky tan is alive  _eou_ what 	we have to get to the penthouse 
you go after ricky __name__ got this 	carter 
you go after ricky __name__ got this  _eou_ carter 	just go 
lee wait __name__ second its not worth it man hes making you do this 	its worth it to me 
we made it man 	no problem 
i saw that she kissed you didnt she you played it cool though walking away never looking back 	shes going home to new york __name__ need some ice 
that your gate down there 	yes 
that your gate down there  _eou_ yes 	im this way __name__ guess this is goodbye 
that your gate down there  _eou_ yes  _eou_ im this way __name__ guess this is goodbye 	i guess so thank you carter 
that your gate down there  _eou_ yes  _eou_ im this way __name__ guess this is goodbye  _eou_ i guess so thank you carter 	you take care of yourself lee 
your fathers badge no way man __name__ cant take this 	its okay __name__ can finally let it go 
what is this 	about fifty grand __name__ won it at the tables 
what is this  _eou_ about fifty grand __name__ won it at the tables 	no carter __name__ cant take this 
what is this  _eou_ about fifty grand __name__ won it at the tables  _eou_ no carter __name__ cant take this 	its okay __name__ got lots more 
i always wanted to go to madison square garden see the knicks play 	new york city 
i always wanted to go to madison square garden see the knicks play  _eou_ new york city 	first class 
i always wanted to go to madison square garden see the knicks play  _eou_ new york city  _eou_ first class 	the plaza hotel 
i always wanted to go to madison square garden see the knicks play  _eou_ new york city  _eou_ first class  _eou_ the plaza hotel 	a little mu shu 
i always wanted to go to madison square garden see the knicks play  _eou_ new york city  _eou_ first class  _eou_ the plaza hotel  _eou_ a little mu shu 	some kung pao 
i could use __name__ little vacation 	amen to that brother 
i know who you are inspector lee 	then you know im not walking away from this case 
is this __name__ payoff 	no its __name__ sample you guys ever heard of the superbill 
put your arms around me 	excuse me 
whats going on 	i need your help 
whats going on  _eou_ i need your help 	last time you needed my help __name__ ended up in the back of __name__ truck 
whats going on  _eou_ i need your help  _eou_ last time you needed my help __name__ ended up in the back of __name__ truck 	im undercover __name__ had no choice you have to trust me 
you move well 	just trying to make it look real 
you move well  _eou_ just trying to make it look real 	look over there thats the eye in the sky room 
behind me is the soft count room were pretty sure the plates are back there 	why dont you go get them 
behind me is the soft count room were pretty sure the plates are back there  _eou_ why dont you go get them 	if im wrong then my cover is blown 
im asking for real now will you help the secret service 	no but ill help you 
are you okay 	im fine 
i didnt know which side you were on 	now you know 
master ching taught me 	the praying mantis school in bejing 
master ching taught me  _eou_ the praying mantis school in bejing 	no freddy chings in crenshaw 
do you still have the bills 	i still have my lunch money from third grade 
lee there was __name__ bombing at the american embassy two american translators were killed 	any leads 
lee there was __name__ bombing at the american embassy two american translators were killed  _eou_ any leads 	we think its ricky tan if you dont want to take the case ill understand 
lee there was __name__ bombing at the american embassy two american translators were killed  _eou_ any leads  _eou_ we think its ricky tan if you dont want to take the case ill understand 	its my responsibility 
lee this is special agent sterling from the united states secret service 	the secret service why 
all he wanted was some mu shu 	are you okay lee 
escort detective carter to the airport 	ill take him 
despite what people suspect what you suspect 	dont 
if you reach for that gun im going to kill you 	dont you remember im already dead 
didnt __name__ teach you to always arch your back 	yes master 
who the hell is that 	that is chief inspector lee the detective in charge of our investigation 
who the hell is that  _eou_ that is chief inspector lee the detective in charge of our investigation 	put __name__ diaper on him chin __name__ want to talk to the great inspector lee 
