polacks and deadbeats 	 polacks 
excuse me fella  _eou_  did they 	would you excuse us please 
excuse me fella  _eou_  did they  _eou_ would you excuse us please 	dont fuck with me fella im talking about __name__ fuckin cadillac car that you owe me 
oh fuck fuck fuck fuck fuck williamson williamson open the fucking williamson 	who are you 
fuck insured you owe me __name__ car 	please dont leave im going to talk to you whats your name 
fuck insured you owe me __name__ car  _eou_ please dont leave im going to talk to you whats your name 	are you talking to me 
aaronow 	they took the typewriters they took the leads they took the cash they took the contracts 
mr levene 	youre done come down and lets 
mr levene  _eou_ youre done come down and lets 	would you come in here please 
mr levene  _eou_ youre done come down and lets  _eou_ would you come in here please 	and lets put this together okay shel say okay 
mr levene __name__ think we have to talk 	im going to the chinks youre done come down were going to smoke __name__ cigarette 
hey hey hey easy friend thats the machine that is shelly the machine lev 	get in the goddamn room 
of what 	and what if you dont close 
of what  _eou_ and what if you dont close 	i will close 
of what  _eou_ and what if you dont close  _eou_ i will close 	what if you dont close 
now now 	now yes when 
wait alright fine the one give me the lead give me the one lead the best one you have 	i cant split them 
why 	because __name__ say so 
why  _eou_ because __name__ say so 	is that it is that it you want to do business that way 
you want to do business that way alright alright alright alright what is there on the other list 	you want something off the __name__ list 
you want to do business that way alright alright alright alright what is there on the other list  _eou_ you want something off the __name__ list 	yeah yeah 
what happened 	somebody broke in 
would you would you or youre gonna what fire me 	its not impossible 
would you would you or youre gonna what fire me  _eou_ its not impossible 	on an eighty thousand dollar day and it aint even noon 
i sold them to jerry graff 	how much did you get for them how much did you get for them 
i sold them to jerry graff  _eou_ how much did you get for them how much did you get for them 	five thousand __name__ kept half 
i sold them to jerry graff  _eou_ how much did you get for them how much did you get for them  _eou_ five thousand __name__ kept half 	who kept the other half 
do __name__ have to tell you moss 	that was easy wasnt it 
it was his idea 	was it 
it was his idea  _eou_ was it 	i im sure he got more than the five actually 
it was his idea  _eou_ was it  _eou_ i im sure he got more than the five actually 	uh huh 
it was his idea  _eou_ was it  _eou_ i im sure he got more than the five actually  _eou_ uh huh 	he told me my share was twenty five 
it was his idea  _eou_ was it  _eou_ i im sure he got more than the five actually  _eou_ uh huh  _eou_ he told me my share was twenty five 	mmm 
what 	youve got __name__ big mouth and now im going to show you an even bigger one 
the checks no good 	you stick around ill pull the memo for you im busy now 
the checks no good  _eou_ you stick around ill pull the memo for you im busy now 	their checks no good theyre nuts 
the checks no good  _eou_ you stick around ill pull the memo for you im busy now  _eou_ their checks no good theyre nuts 	call up the bank __name__ called them 
the checks no good  _eou_ you stick around ill pull the memo for you im busy now  _eou_ their checks no good theyre nuts  _eou_ call up the bank __name__ called them 	you did 
dont 	im sorry 
dont  _eou_ im sorry 	why 
dont  _eou_ im sorry  _eou_ why 	because __name__ dont like you 
dont  _eou_ im sorry  _eou_ why  _eou_ because __name__ dont like you 	john john my daughter 
dont  _eou_ im sorry  _eou_ why  _eou_ because __name__ dont like you  _eou_ john john my daughter 	fuck you 
you did that 	eighty two thousand dollars 
those fuckin deadbeats 	my ass __name__ told em listen to this __name__ said 
those fuckin deadbeats  _eou_ my ass __name__ told em listen to this __name__ said 	hey __name__ dont want to hear your fucking war stories 
give me some leads im going out im getting out of 	 you have to believe in yourself 
give me some leads im going out im getting out of  _eou_  you have to believe in yourself 	na fuck the leads im going home 
give me some leads im going out im getting out of  _eou_  you have to believe in yourself  _eou_ na fuck the leads im going home 	 bruce harriet fuck me believe in yourself 
hey theyre fuckin garbage any case this whole goddamn 	 you look around you say this one has so and so and __name__ have nothing 
hey theyre fuckin garbage any case this whole goddamn  _eou_  you look around you say this one has so and so and __name__ have nothing 	shit 
hey theyre fuckin garbage any case this whole goddamn  _eou_  you look around you say this one has so and so and __name__ have nothing  _eou_ shit 	 why why dont __name__ get the opportunities 
hey theyre fuckin garbage any case this whole goddamn  _eou_  you look around you say this one has so and so and __name__ have nothing  _eou_ shit  _eou_  why why dont __name__ get the opportunities 	and did they steal the contracts 
 the fuck is that supposed to mean 	will you shut up im telling you this 
 you do get the huh huh 	fuck is that supposed to mean 
 you do get the huh huh  _eou_ fuck is that supposed to mean 	 you do get the opportunity you get them as __name__ do as anyone does 
 you do get the huh huh  _eou_ fuck is that supposed to mean  _eou_  you do get the opportunity you get them as __name__ do as anyone does 	ricky that __name__ dont care they stole the contracts 
i got em in the kitchen im eating her crumb cake 	what does that mean 
eight units 	thats right 
eight units  _eou_ thats right 	shelly 
eight units  _eou_ thats right  _eou_ shelly 	hey big fucking deal broke __name__ bad streak 
williamson get on the phone call mitch 	they took the phones 
williamson get on the phone call mitch  _eou_ they took the phones 	they 
when 	last night this morning 
they took the leads 	mmm 
just now 	guess who 
fuck you dave 	 you have to believe in yourself you look alright 
fuck you care 	 __name__ want to tell you something harriet 
rick 	im sorry jim __name__ cant talk now ill call you tonight im sorry im coming ray 
ricky __name__ 	okay okay ill be at the resta 
ricky __name__  _eou_ okay okay ill be at the resta 	ricky 
ive got to talk to you 	jim what are you doing here jim lingk __name__ ray morton 
monday 	she called the consumer the attorney __name__ dont know the attorney gen they said we have three days 
monday  _eou_ she called the consumer the attorney __name__ dont know the attorney gen they said we have three days 	who did she call 
monday  _eou_ she called the consumer the attorney __name__ dont know the attorney gen they said we have three days  _eou_ who did she call 	i dont know the attorney gen the some consumer office um 
monday  _eou_ she called the consumer the attorney __name__ dont know the attorney gen they said we have three days  _eou_ who did she call  _eou_ i dont know the attorney gen the some consumer office um 	why did she do that jim 
i dont know they said we have three days they said we have three days 	three days 
i dont know they said we have three days they said we have three days  _eou_ three days 	to you know 
no __name__ dont know tell me 	to change our minds 
no __name__ dont know tell me  _eou_ to change our minds 	of course you have three days 
jim jim you saw my book __name__ cant you saw my book 	but we have to before monday to get our money ba 
jim jim you saw my book __name__ cant you saw my book  _eou_ but we have to before monday to get our money ba 	three business days they mean three business days 
jim jim you saw my book __name__ cant you saw my book  _eou_ but we have to before monday to get our money ba  _eou_ three business days they mean three business days 	wednesday thursday friday 
jim jim you saw my book __name__ cant you saw my book  _eou_ but we have to before monday to get our money ba  _eou_ three business days they mean three business days  _eou_ wednesday thursday friday 	i dont understand 
jim jim you saw my book __name__ cant you saw my book  _eou_ but we have to before monday to get our money ba  _eou_ three business days they mean three business days  _eou_ wednesday thursday friday  _eou_ i dont understand 	thats what they are three business __name__ wait till monday my time limit runs out 
im very sorry jimmy __name__ apologize to you 	its not me its my wife 
im very sorry jimmy __name__ apologize to you  _eou_ its not me its my wife 	what is 
im very sorry jimmy __name__ apologize to you  _eou_ its not me its my wife  _eou_ what is 	i told you 
im very sorry jimmy __name__ apologize to you  _eou_ its not me its my wife  _eou_ what is  _eou_ i told you 	tell me again 
no no thats just something she said we dont have to do that 	she told me __name__ have to 
no no thats just something she said we dont have to do that  _eou_ she told me __name__ have to 	no jim 
no no thats just something she said we dont have to do that  _eou_ she told me __name__ have to  _eou_ no jim 	i do if __name__ dont get my money back 
the deal 	the deal forget the deal forget the deal youve got something on your mind jim what is it 
the deal  _eou_ the deal forget the deal forget the deal youve got something on your mind jim what is it 	i cant talk to you you met my wife __name__ 
what 	and the check is 
what  _eou_ and the check is 	what did __name__ tell you what did __name__ say about the three days 
what are the police doing 	its nothing 
what are the police doing  _eou_ its nothing 	what are the police doing here 
you cashed the check 	not to my knowledge no 
fuck you 	guess who 
fuck you  _eou_ guess who 	when 
you just this morning 	harriet and blah blah nyborg 
we havent got __name__ lead 	why not 
we havent got __name__ lead  _eou_ why not 	they took em 
they didnt get your contract __name__ filed it before __name__ left 	they didnt get my contracts 
they didnt get your contract __name__ filed it before __name__ left  _eou_ they didnt get my contracts 	they excuse me 
they didnt get the contracts 	did they 
they didnt get the contracts  _eou_ did they 	they got listen to me 
they didnt get the contracts  _eou_ did they  _eou_ they got listen to me 	the 
listen to me they got some of them 	some of them 
where are you going 	to the restaura what do you fucking 
where are you going  _eou_ to the restaura what do you fucking 	arent you going out today 
where are you going  _eou_ to the restaura what do you fucking  _eou_ arent you going out today 	with what with what john they took the leads 
where are you going  _eou_ to the restaura what do you fucking  _eou_ arent you going out today  _eou_ with what with what john they took the leads 	i have the stuff from last years 
where are you going  _eou_ to the restaura what do you fucking  _eou_ arent you going out today  _eou_ with what with what john they took the leads  _eou_ i have the stuff from last years 	oh oh oh your nostalgia file theys fine no swell cause __name__ dont have to 
yes 	mr lingk and __name__ are going to 
yes  _eou_ mr lingk and __name__ are going to 	yes please please the police can be 
we had __name__ slight burglary last night 	it was nothing __name__ was assuring mr lingk 
we had __name__ slight burglary last night  _eou_ it was nothing __name__ was assuring mr lingk 	mr lingk james lingk your contract went out nothing to 
we had __name__ slight burglary last night  _eou_ it was nothing __name__ was assuring mr lingk  _eou_ mr lingk james lingk your contract went out nothing to 	john 
we had __name__ slight burglary last night  _eou_ it was nothing __name__ was assuring mr lingk  _eou_ mr lingk james lingk your contract went out nothing to  _eou_ john 	your contract went out to the bank 
 mr williamson 	your check as cashed yesterday afternoon and were completely insured as you know in any case 
