and __name__ always knew __name__ could count on you agent utah  _eou_ im not fbi anymore  _eou_ you never were 	i asked them to give me __name__ couple minutes 
yeah what 	have you seen __name__ little dog kind of __name__ cockapoo lookin thing about this big 
yeah what  _eou_ have you seen __name__ little dog kind of __name__ cockapoo lookin thing about this big 	no 
you sure he isnt out back you mind if __name__ go take __name__ look 	look __name__ dont know anything about your dog okay 
you sure he isnt out back you mind if __name__ go take __name__ look  _eou_ look __name__ dont know anything about your dog okay 	well is there anyone else here that might have seen him 
you sure he isnt out back you mind if __name__ go take __name__ look  _eou_ look __name__ dont know anything about your dog okay  _eou_ well is there anyone else here that might have seen him 	theres nobody else here 
three men dead one of them __name__ cop hows that sit in your gut utah 	take your hand off my shoulder right now 
they found the drop car up on mulholland __name__ want you two to go work it 	what now im working the drop car whos handling the scene here 
they found the drop car up on mulholland __name__ want you two to go work it  _eou_ what now im working the drop car whos handling the scene here 	cole and munoz im uh letting them run with the ball for __name__ while 
cole and munoz __name__ been on this case for two years 	thats the point isnt it 
cole and munoz __name__ been on this case for two years  _eou_ thats the point isnt it 	yeah __name__ get it time to play lets dick the old guys huh harp 
cole and munoz __name__ been on this case for two years  _eou_ thats the point isnt it  _eou_ yeah __name__ get it time to play lets dick the old guys huh harp 	supervising special agent harp now __name__ want you to go work the drop car okay angelo okay 
pappas angelo pappas 	punk quarterback punk 
pappas angelo pappas  _eou_ punk quarterback punk 	welcome to sea world kid 
good move 	yeah they control the room well stick strictly to the cash drawers 
surgical look at them separate the dye packs dick and ronny know their jobs 	the ex presidents are the best ive seen kid 
sex wax youre not into kinky shit are you angelo 	surfers use it on their boards they rub sand into it for traction 
sex wax youre not into kinky shit are you angelo  _eou_ surfers use it on their boards they rub sand into it for traction 	thanks for the tip __name__ needed this knowledge 
 four months june to october mmmm same the year before 	another month and we dont see em again til next summer 
johnny its the only way 	why cant __name__ just walk around with this thing under my arm and act stoned ask __name__ few questions 
i think you gotta hit them straight on 	got it 
big zippo so far how about you 	patience hotshot patience itll be subtle if its here at all 
no but there are four guys back there you might check out 	thanks buddy 
when did harp say theyd have the warrant 	hes pushing it through first thing you better get some sleep tonight it could be an interesting morning 
did that worthless punk partner of mine ever show up 	right here partner 
aw shit 	nice tattoo dietz 
theyre on their way to maui 	no way not yet come on 
time for lunch 	angelo its eleven thirty 
time for lunch  _eou_ angelo its eleven thirty 	that place up the street has meatball sandwiches get me two 
the hell are they 	they took __name__ left at the next light 
the hell are they  _eou_ they took __name__ left at the next light 	you sure 
nothing 	nothing 
i know where theyre going 	figured you did 
angelo dont fire 	kid get outta the way 
angelo dont fire  _eou_ kid get outta the way 	nooo 
stop here do you agree to do exactly what __name__ say when __name__ say it 	sure 
whats goin on 	swells here johnny bodhi always knows 
i can barely do this in broad daylight 	come on at least no ones gonna see how bad you are 
you had enough 	yeah __name__ just want to sit out here for __name__ minute 
those are cold 	warm them up 
i __name__ gotta go 	johnny whats going on __name__ dont get it did __name__ do something 
i __name__ gotta go  _eou_ johnny whats going on __name__ dont get it did __name__ do something 	no im sorry __name__ have to go ill uh ill call you later im sorry 
ouch 	betadyne doesnt hurt 
ouch  _eou_ betadyne doesnt hurt 	youre kneeling on my hand 
so whatd the other guy look like 	never saw him was your basic hit and run 
so whatd the other guy look like  _eou_ never saw him was your basic hit and run 	but you look like you been in __name__ train wreck howd he just drive away 
i work bank robbery guys im after are surfers __name__ needed you at first but not 	fuck you johnny utah fuck you dont you have __name__ soul goddamn you to hell 
